Time [s],Packet ID,MOSI,MISO
1.415875360000000,0,0x03,0xFF
1.415972640000000,0,0x00,0xFF
1.416070080000000,0,0x00,0xFF
1.416167520000000,0,0x00,0xFF
1.416264960000000,0,0x00,0x01
1.416370080000000,0,0x03,0xFF
1.416467520000000,0,0x00,0xFF
1.416564960000000,0,0x00,0xFF
1.416662400000000,0,0x00,0xFF
1.416759840000000,0,0x00,0x01
1.416857120000000,0,0x00,0x50
1.416954560000000,0,0x00,0xB7
1.417052000000000,0,0x00,0xAD
1.417149440000000,0,0x00,0x00
1.417246880000000,0,0x00,0x00
1.417344160000000,0,0x00,0xA0
1.417441600000000,0,0x00,0xFF
1.417553440000000,0,0x03,0xFF
1.417650880000000,0,0x00,0xFF
1.417748320000000,0,0x00,0xFF
1.417845760000000,0,0x08,0xFF
1.417943200000000,0,0x00,0x00
1.418040480000000,0,0x00,0x00
1.418137920000000,0,0x00,0x00
1.418235360000000,0,0x00,0x00
1.418332800000000,0,0x00,0x84
1.418430240000000,0,0x00,0x90
1.418527680000000,0,0x00,0x00
1.418624960000000,0,0x00,0x00
1.418745920000000,0,0x03,0xFF
1.418843360000000,0,0x00,0xFF
1.418940800000000,0,0x00,0xFF
1.419038240000000,0,0x10,0xFF
1.419135680000000,0,0x00,0x01
1.419233120000000,0,0x00,0x00
1.419330400000000,0,0x00,0x9D
1.419427840000000,0,0x00,0xAD
1.419525280000000,0,0x00,0x00
1.419622720000000,0,0x00,0x00
1.419720160000000,0,0x00,0x80
1.419817440000000,0,0x00,0xFF
1.419914880000000,0,0x00,0x40
1.420012320000000,0,0x00,0x0E
1.420109760000000,0,0x00,0x00
1.420207200000000,0,0x00,0x00
1.420304640000000,0,0x00,0x00
1.420401920000000,0,0x00,0x00
1.420499360000000,0,0x00,0x00
1.420596800000000,0,0x00,0x00
1.420716640000000,0,0x03,0xFF
1.420814080000000,0,0x00,0xFF
1.420911520000000,0,0x00,0xFF
1.421008800000000,0,0x20,0xFF
1.421106240000000,0,0x00,0xB4
1.421203680000000,0,0x00,0x00
1.421301120000000,0,0x00,0x00
1.421398560000000,0,0x00,0x00
1.421496000000000,0,0x00,0x00
1.421593280000000,0,0x00,0xFF
1.421690720000000,0,0x00,0x00
1.421788160000000,0,0x00,0x0B
1.421885600000000,0,0x00,0x0C
1.421983040000000,0,0x00,0x00
1.422080320000000,0,0x00,0x80
1.422177760000000,0,0x00,0xFF
1.422275200000000,0,0x00,0x00
1.422372640000000,0,0x00,0x00
1.422470080000000,0,0x00,0x00
1.422567520000000,0,0x00,0x00
1.422664800000000,0,0x00,0x00
1.422762240000000,0,0x00,0x00
1.422859680000000,0,0x00,0x00
1.422957120000000,0,0x00,0x00
1.423054560000000,0,0x00,0x00
1.423151840000000,0,0x00,0x80
1.423249280000000,0,0x00,0x00
1.423346720000000,0,0x00,0x02
1.423444160000000,0,0x00,0x00
1.423541600000000,0,0x00,0x00
1.423639040000000,0,0x00,0x00
1.423736320000000,0,0x00,0x00
1.423833760000000,0,0x00,0x01
1.423931200000000,0,0x00,0x00
1.424028640000000,0,0x00,0x00
1.424126080000000,0,0x00,0x00
1.424223360000000,0,0x00,0xBA
1.424320800000000,0,0x00,0x06
1.424418240000000,0,0x00,0xA1
1.424515680000000,0,0x00,0xFF
1.424613120000000,0,0x00,0x1C
1.424710560000000,0,0x00,0x07
1.424807840000000,0,0x00,0xA1
1.424905280000000,0,0x00,0xFF
1.425002720000000,0,0x00,0xA0
1.425100160000000,0,0x00,0x06
1.425197600000000,0,0x00,0xA1
1.425294880000000,0,0x00,0xFF
